# This is a continuation of trace file /D216/EDT/projects/Услуги/.metadata/trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2023-03-04 10:30:22.096
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.099 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.settings.impl.DataCompositionSelectedFieldsImpl@15fd8521 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.099 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.099 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.schema.impl.DataCompositionSchemaImpl@8ffa6b25 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.099 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.099 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.mcore.impl.StandardBeginningDateValueImpl@38f1b3a9 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.099 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.099 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.common.impl.DataCompositionDataSetFieldRoleImpl@2104392a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.100 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.100 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.core.impl.LocalStringImpl@7f7ab7ad |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.100 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.100 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.settings.impl.DataCompositionSelectedFieldImpl@27e40bad |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.100 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.100 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.schema.impl.DataCompositionSchemaDataSetFieldImpl@4f43d5b0 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.100 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.100 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.settings.impl.SettingsParameterValueImpl@f6dce530 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.101 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
